"","date","djia","nasdaqcom","btc","sp500","rate"
"201",2015-06-24,17966.07,5122.41,240.514999,2108.58,0.13
"202",2015-06-25,17890.36,5112.19,242.798996,2102.31,0.13
"203",2015-06-26,17946.68,5080.51,243.593994,2101.49,0.13
"204",2015-06-29,17596.35,4958.47,257.063995,2057.64,0.14
"205",2015-06-30,17619.51,4986.87,263.071991,2063.11,0.08
"206",2015-07-01,17757.91,5013.12,258.621002,2077.42,0.13
"207",2015-07-02,17730.11,5009.21,255.412003,2076.78,0.13
"208",2015-07-03,NA,NA,256.335999,NA,0.13
"209",2015-07-06,17683.58,4991.94,269.029999,2068.76,0.13
"210",2015-07-07,17776.91,4997.46,266.207001,2081.34,0.13
"211",2015-07-08,17515.42,4909.76,270.785004,2046.68,0.13
"212",2015-07-09,17548.62,4922.4,269.227997,2051.31,0.13
"213",2015-07-10,17760.41,4997.7,284.894012,2076.62,0.13
"214",2015-07-13,17977.68,5071.51,292.053986,2099.6,0.13
"215",2015-07-14,18053.58,5104.89,287.463989,2108.95,0.13
"216",2015-07-15,18050.17,5098.94,285.82901,2107.4,0.13
"217",2015-07-16,18120.25,5163.18,278.088989,2124.29,0.14
"218",2015-07-17,18086.45,5210.14,279.471985,2126.64,0.13
"219",2015-07-20,18100.41,5218.86,278.980988,2128.28,0.14
"220",2015-07-21,17919.29,5208.12,275.833008,2119.21,0.13
"221",2015-07-22,17851.04,5171.77,277.221985,2114.15,0.13
"222",2015-07-23,17731.92,5146.41,276.049011,2102.15,0.13
"223",2015-07-24,17568.53,5088.63,288.278015,2079.65,0.13
"224",2015-07-27,17440.59,5039.78,293.623993,2067.64,0.14
"225",2015-07-28,17630.27,5089.21,294.427002,2093.25,0.14
"226",2015-07-29,17751.39,5111.73,289.589996,2108.57,0.14
"227",2015-07-30,17745.98,5128.78,287.721985,2108.63,0.14
"228",2015-07-31,17689.86,5128.28,284.649994,2103.84,0.08
"229",2015-08-03,17598.2,5115.38,281.22699,2098.04,0.14
"230",2015-08-04,17550.69,5105.55,285.217987,2093.32,0.14
"231",2015-08-05,17540.47,5139.94,281.881989,2099.84,0.14
"232",2015-08-06,17419.75,5056.44,278.576996,2083.56,0.14
"233",2015-08-07,17373.38,5043.54,279.584991,2077.57,0.14
